Text;Label
Bangunan SMA 96 Jakarta Roboh, Ambulans dan Mobil Damkar Datang Bergiliran;Fact
Max Sopacua Politikus Senior Partai Demokrat Meninggal Dunia;Fact
Stroke Menyerang Anak-anak sebagai Efek Samping Vaksin Covid-19;Hoax
Giring Ganesha Resmi Jadi Ketum, Ini Susunan DPP PSI;Fact
Max Sopacua Dimakamkan Satu Lubang dengan Almarhumah Istri di Bogor;Fact
Jenazah Max Sopacua Dimakamkan Setelah Zhuhur di Ciomas Jawa Barat;Fact
Selain Andika Perkasa, Jokowi Juga Lantik Letjen Dudung Jadi KSAD Siang Ini;Fact
Penerima Vaksin Covid-19 Berisiko Lebih Tinggi Terkena Limfoma dan Autoimun;Hoax
Mayjen TNI Suharyanto Diangkat Jadi Kepala BNPB Sekaligus Kasatgas Covid 19 Gantikan Ganip Warsito;Fact
Vaksin Covid-19 Memiliki Tingkat Kematian 174 Kali Lebih Tinggi pada Anak-anak daripada Virus Covid-19;Hoax
Jokowi Lantik Jenderal Andika Perkasa Jadi Panglima TNI Hari Ini;Fact
Pejabat di Kementan yang Pakai Seragam Loreng Khas Nasdem Terancam Sanksi;Fact
Anggotanya Ditangkap Densus 88, MUI Siap Berikan Pendampingan Hukum;Fact
Irjen Napoleon Bonaparte Dieksekusi ke Lapas Cipinang;Fact
 Foto Kemasan Vaksin Sinovac “Only for clinical trial” atau “Hanya untuk Uji Klinis”;Hoax
Polri: Farid Okbah Dewan Syuro Kelompok Teroris Jamaah Islamiyah;Fact
Profil Letjen Dudung Abdurachman, KSAD Baru Pengganti Andika Perkasa;Fact
Infografis Hampir Sebulan Banjir di Sintang Kalbar Belum Surut;Fact
Top 3 News: Said Aqil Siradj Diminta Kembali Menjadi Ketua Umum PBNU;Fact
Viral Rumah Terduga Pelaku Pencabulan di Jaksel Dikepung Warga;Fact
Vaksin Pfizer Menambahkan Zat yang Digunakan untuk Menstabilkan Korban Serangan Jantung ke dalam Vaksin Covid-19;Hoax
Pamit Jabatan, Marsekal Hadi Ingatkan Prajurit TNI Pegang Teguh Sumpah Prajurit;Fact
Satu Frekuensi TV Digital Dapat Tayangkan 16 Siaran, Nurul Arifin: Tidak Fair;Fact
VIDEO: Kabar Duka, Politikus Max Sopacua Meninggal;Fact
Cabuli 14 Anak, Guru Les Privat di Jaksel Ditangkap Polisi;Fact
Pimpinan Pesantren se-Jawa, Madura, Bali Minta Said Aqil Kembali Maju Jadi Ketum PBNU;Fact
Selain Ketum PDRI, Densus 88 Juga Tangkap Anggota Komisi Fatwa MUI Pusat;Fact
Kabar Reshuffle Kabinet Terus Menguat, KSP Moeldoko Jadi Sorotan;Fact
Tes Swab Dapat Menggores Amigdala dan Dilakukan di Zaman Mesir Kuno untuk Membuat Budak Menjadi Patuh;Hoax
Pandemi tersembunyi' bisa timbul akibat kebal antibiotik;Hoax
Misteri asteroid merah Kamo'oalewa yang disebut 'bulan kecil';Fact
Orang yang Pernah Terinfeksi Covid-19 Memiliki Imunitas Lebih Baik Ketimbang yang Divaksin;Hoax
Bantuan Kompensasi Rp 1 Juta Bagi Pemegang Kartu Vaksinasi;Hoax
Video Satpam Uji Coba Air Keran dengan Alat Swab Antigen dan Hasilnya Positif;Hoax
Makanan Tradisional akan Dikenakan Pajak 12 Persen;Hoax
Vaksinasi Covid-19 Merusak Genetika Tubuh dan Menyebabkan Kematian 2 Tahun Kemudian;Hoax
Informasi 10 Dokter Wafat karena Covid-19 dalam Waktu 24 Jam setelah Disuntik Vaksin;Hoax
Bawang Putih Dapat Mengeluarkan Cairan di Paru-paru Akibat Covid-19;Hoax
Data WHO Sebut 377 Orang dari Setiap 100.000 Orang Meninggal karena Vaksin;Hoax
Vaksin Covid-19 Berbahaya Bagi Ibu Menyusui;Hoax
Ekstrak Nanas Bisa Dijadikan Obat Corona;Hoax
Terjemahan Kata AstraZeneca yang Berarti `Senjata yang Membunuh`;Hoax
Virus Corona Dapat Menyebar Lewat Asap Rokok;Hoax
Sertifikasi Halal Dipegang PT Surveyor Indonesia Bukan Lagi MUI;Hoax
Vaksin Sinovac hanya untuk Kelinci Percobaan, Tidak untuk Disebarluaskan;Hoax
Ahli Patologi Roger Hodkinson: Covid-19 Adalah Tipuan;Hoax
Hanya Indonesia yang Beli Vaksin Sinovac Tiongkok;Hoax
Jokowi akan Gunakan Vaksin Pfizer, Vaksin Sinovac untuk Masyarakat;Hoax
Vaksin Covid-19 Buatan Pfizer Berbentuk Vape;Hoax
"HEBATNYA PEMERINTAH INDONESIA, SAKING HEBATNYA SAMPAI DI BODOHI CHINA, HEBATNYA PEMERINTAH INDONESIA ADALAH IMPORT VAKSIN DARI CHINA, SEDANGKAN CHINA IMPORT VAKSIN DARI JERMAN. PINTARNYA CHINA ADALAH CHINA SENDIRI TAK MAU MEMAKAI VAKSIN BUATANNYA MEREKA SENDIRI"".";Hoax
4 Orang Alami Kelumpuhan pada Wajah setelah Divaksin Covid-19;Hoax
Omnibus Law Menghapus Cuti Haid, Hamil dan Melahirkan;Hoax
UU Cipta Kerja Omnibus Law Hapus Pesangon;Hoax
Mahasiswa Meninggal Dunia pada Aksi Massa Menolak UU Cipta Kerja di Lampung;Hoax
Akhir Tahun 2021, Tol Trans-Sumatera Tersambung 553 Kilometer;Fact
Sanksi untuk Kampus yang Tak Laksanakan Permendikbud Nomor 30;Fact
Wujudkan Program Prioritas, Kementerian KP Gelar Pelatihan untuk Cetak ASN Profesional;Fact
Pengangguran Terbuka di Kota Tangerang Tahun 2021 Naik Jadi 9,07 Persen;Fact
Aturan PPKM Level 1 untuk Sekolah, Supermarket, Warung Makan, dan Mall;Fact
Apakah benar apabila seorang terserang stroke, maka kita harus mengeluarkan darah dari ujung jari?;Hoax
Ketika seseorang mengalami stroke, pembuluh rambut otaknya secara perlahan akan tersobek.;Hoax
Rotasi Bumi di Tahun 2021 Melambat, Waktu Sehari Menjadi Lebih Panjang;Fact
